[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=1, prob=0.006, bbox=(x=0.48, y=0.86, w=0.35, h=0.38)
[Debug] image_index=17, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_d68373a2aa144caf879915c09c5d9617.jpg, class_id=0, prob=0.009, bbox=(x=0.10, y=0.85, w=0.04, h=0.06)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=0, prob=0.011, bbox=(x=0.90, y=0.71, w=0.15, h=0.05)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=4, prob=0.047, bbox=(x=0.90, y=0.71, w=0.15, h=0.05)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=4, prob=0.028, bbox=(x=0.93, y=0.90, w=0.14, h=0.06)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=4, prob=0.018, bbox=(x=0.89, y=0.90, w=0.21, h=0.11)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=4, prob=0.011, bbox=(x=0.88, y=0.76, w=0.16, h=0.12)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=3, prob=0.007, bbox=(x=0.88, y=0.92, w=0.24, h=0.05)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=0, prob=0.991, bbox=(x=0.83, y=0.73, w=0.09, h=0.04)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=0, prob=0.040, bbox=(x=0.87, y=0.79, w=0.09, h=0.04)
[Debug] image_index=18, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e77f982d0dd94d5d95ad398ec055b6c4.jpg, class_id=0, prob=0.010, bbox=(x=0.85, y=0.79, w=0.05, h=0.03)
[Debug] image_index=19, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e116f635e5064f89b3579b993ffed39c.jpg, class_id=4, prob=0.043, bbox=(x=0.38, y=0.74, w=0.15, h=0.05)
[Debug] image_index=19, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_e116f635e5064f89b3579b993ffed39c.jpg, class_id=9, prob=0.482, bbox=(x=0.38, y=0.74, w=0.15, h=0.05)
